x1,x2
9660.0,0.0
9669.0,0.0
9736.0,0.0
9748.0,0.0
9761.0,0.0
9770.0,0.0
9779.0,0.0
9788.0,0.0
9797.0,0.0
9806.0,0.0
9813.0,0.0
9817.0,0.0
9827.0,0.0
9833.0,0.0
9849.0,0.0
9862.0,0.0
9868.0,0.0
9881.0,0.0
10012.0,0.0
10071.0,0.0
10080.0,0.0
10099.0,0.0
10108.0,0.0
10117.0,0.0
10122.0,0.0
10131.0,0.0
10140.0,0.0
10201.0,0.0
10214.0,0.0
10228.0,0.0
10237.0,0.0
10246.0,0.0
10255.0,0.0
10270.0,0.0
10280.0,0.0
10290.0,0.0
10303.0,0.0
10312.0,0.0
10321.0,0.0
10334.0,0.0
10474.0,0.0
10520.0,0.0
10529.0,0.0
10538.0,0.0
10547.0,0.0
10556.0,0.0
10570.0,0.0
10579.0,0.0
10588.0,0.0
10593.0,0.0
10654.0,0.0
10667.0,0.0
10672.0,0.0
10681.0,0.0
10694.0,0.0
10703.0,0.0
10712.0,0.0
10719.0,0.0
10723.0,0.0
10733.0,0.0
10756.0,0.0
10769.0,0.0
10778.0,0.0
10787.0,0.0
10936.0,0.0
10977.0,0.0
10986.0,0.0
10995.0,0.0
11004.0,0.0
11013.0,0.0
11028.0,0.0
11041.0,0.0
11046.0,0.0
11081.0,0.0
11089.0,0.0
11107.0,0.0
11120.0,0.0
11125.0,0.0
11138.0,0.0
11147.0,0.0
11160.0,0.0
11171.0,0.0
11176.0,0.0
11186.0,0.0
11209.0,0.0
11222.0,0.0
11398.0,0.0
11476.0,0.0
11494.0,0.0
11499.0,0.0
11526.0,0.0
11538.0,0.0
11542.0,0.0
11555.0,0.0
11560.0,0.0
11573.0,0.0
11578.0,0.0
11591.0,0.0
11613.0,0.0
11624.0,0.0
11639.0,0.0
11653.0,0.0
11662.0,0.0
11675.0,0.0
11841.0,0.0
11854.0,0.0
11860.0,0.0
11947.0,0.0
11952.0,0.0
11974.0,0.0
11988.0,0.0
11995.0,0.0
12008.0,0.0
12013.0,0.0
12026.0,0.0
12044.0,0.0
12066.0,0.0
12077.0,0.0
12088.0,0.0
12097.0,0.0
12106.0,0.0
12119.0,0.0
12128.0,0.0
12322.0,0.0
12400.0,0.0
12436.0,0.0
12448.0,0.0
12461.0,0.0
12479.0,0.0
12519.0,0.0
12530.0,0.0
12534.0,0.0
12544.0,0.0
12554.0,0.0
12563.0,0.0
12572.0,0.0
12695.0,0.0
12784.0,0.0
12857.0,0.0
12866.0,0.0
12875.0,0.0
12884.0,0.0
12892.0,0.0
12901.0,0.0
12914.0,0.0
12920.0,0.0
12946.0,0.0
12965.0,0.0
12972.0,0.0
12983.0,0.0
12988.0,0.0
12994.0,0.0
13003.0,0.0
13011.0,0.0
13024.0,0.0
13112.0,0.0
13121.0,0.0
13130.0,0.0
13138.0,0.0
13152.0,0.0
13246.0,0.0
13314.0,0.0
13323.0,0.0
13332.0,0.0
13341.0,0.0
13346.0,0.0
13358.0,0.0
13367.0,0.0
13377.0,0.0
13389.0,0.0
